"ID","cultureLinkID","BibTexKey"
1,3,"Linstadter.2008Transit"
2,6,"Linstadter.2008Transit"
3,31,"Rahmani.2004Techn"
4,48,"Linstadter.2010RecRec"
5,50,"Linstadter.2010RecRec"
6,164,"Rahmani.2004NouvChron"
7,165,"Rahmani.2004NouvChron"
8,166,"Rahmani.2004NouvChron"
9,167,"Rahmani.2004NouvChron"
10,168,"Rahmani.2004NouvChron"
11,169,"Rahmani.2004NouvChron"
12,170,"Rahmani.2004NouvChron"
13,171,"Rahmani.2004NouvChron"
14,172,"Rahmani.2004NouvChron"
15,173,"Rahmani.2004NouvChron"
16,206,"Linstadter.2010RecRec"
17,209,"LubellSheppard.1991Maghreb"
18,215,"Linstadter.2010RecRec"
19,216,"LubellSheppard.1991Maghreb"
20,223,"regional phase"
21,224,"regional phase"
22,225,"regional phase"
23,226,"regional phase"
24,227,"regional phase"
25,228,"regional phase"
26,1134,"MoralePerez.2013OrAgriNWA"
27,1135,"LinstadterWagner.2013IfriP"
28,1155,"LinstadterBroich.2016Defin"
29,1157,"LinstadterBroich.2016Defin"
30,1159,"LinstadterBroich.2016Defin"
31,1161,"LinstadterBroich.2016Defin"
32,1163,"LinstadterBroich.2016Defin"
33,1165,"LinstadterBroich.2016Defin"
34,1229,"Linstadter.2010RecRec"
35,1229,"LinstadterBroich.2016Defin"
36,1230,"Linstadter.2011EpiNeotran"
37,1230,"LinstadterMedved.2012Alboran"
38,1231,"Linstadter.2008Transit"
39,1232,"Linstadter.2010RecRec"
40,1232,"LinstadterBroich.2016Defin"
41,1233,"Linstadter.2011EpiNeotran"
42,1233,"LinstadterMedved.2012Alboran"
43,1234,"Linstadter.2008Transit"
44,1237,"LubellSheppard.1991Maghreb"
45,1239,"LubellSheppard.1991Maghreb"
46,1243,"LubellSheppard.1991Maghreb"
47,1250,"Linstadter.2010RecRec"
48,1267,"LinstadterMedved.2012Alboran"
49,1267,"LinstadterBroich.2016Defin"
50,1268,"Linstadter.2008Transit"
51,1268,"Linstadter.2010RecRec"
52,1268,"Linstadter.2011EpiNeotran"
53,1270,"LinstadterMedved.2012Alboran"
54,1270,"LinstadterBroich.2016Defin"
55,1271,"Linstadter.2008Transit"
56,1271,"Linstadter.2010RecRec"
57,1271,"Linstadter.2011EpiNeotran"
58,1272,"LinstadterMedved.2012Alboran"
59,1272,"LinstadterBroich.2016Defin"
60,1273,"Linstadter.2008Transit"
61,1273,"Linstadter.2010RecRec"
62,1273,"Linstadter.2011EpiNeotran"
63,1275,"LinstadterMedved.2012Alboran"
64,1275,"LinstadterBroich.2016Defin"
65,1276,"Linstadter.2008Transit"
66,1276,"Linstadter.2010RecRec"
67,1276,"Linstadter.2011EpiNeotran"
68,1283,"Linstadter.2011EpiNeotran"
69,1283,"LinstadterBroich.2016Defin"
70,1284,"LinstadterMedved.2012Alboran"
71,1287,"Linstadter.2011EpiNeotran"
72,1287,"LinstadterBroich.2016Defin"
73,1288,"LinstadterMedved.2012Alboran"
74,1329,"LubellSheppard.1991Maghreb"
75,1330,"LubellSheppard.1991Maghreb"
76,1368,"Linstadter.2010RecRec"
77,1370,"Linstadter.2010RecRec"
78,1372,"Linstadter.2010RecRec"
79,1374,"Linstadter.2010RecRec"
80,1376,"Linstadter.2010RecRec"
81,1379,"LubellSheppard.1991Maghreb"
82,1381,"LubellSheppard.1991Maghreb"
83,1388,"LubellSheppard.1991Maghreb"
84,1391,"LubellSheppard.1991Maghreb"
85,1394,"LubellSheppard.1991Maghreb"
86,1396,"LubellSheppard.1991Maghreb"
87,1399,"LubellSheppard.1991Maghreb"
