"IndividualDateOrder","Name","ReplacementName","ShowInIndividualDate","SearchableAssociations"
1,"Site_ID",,,"FALSE"
2,"Site_Name","Site Name","TRUE","FALSE"
3,"Phase_ID",,,"FALSE"
4,"Date_ID","MedAfrica Date ID","TRUE","FALSE"
5,"Lab_ID","Lab ID","TRUE","FALSE"
6,"Other_Lab_ID","Other Lab ID","TRUE","FALSE"
7,"Problems","Problems","TRUE","FALSE"
8,"CRA","Uncalibrated Date","TRUE","FALSE"
9,"Error","Error","TRUE","FALSE"
10,"Error2","Error 2","TRUE","FALSE"
11,"DC13","DC13","TRUE","FALSE"
12,"DC13_Error","DC Error","TRUE","FALSE"
22,"Date_Method","Date Method","TRUE","FALSE"
23,"Calibration_Curve","Calibration Curve","TRUE","FALSE"
24,"Local_Reservoir_14Cyr","Local Reservoir 14C yr (for Marine Dates)","TRUE","FALSE"
25,"Local_Reservoir_14Cyr_Error","Local Reservoir 14C yr Error (for Marine Dates)","TRUE","FALSE"
26,"Material","Material","TRUE","FALSE"
27,"Species","Species","TRUE","FALSE"
28,"Site_ID.dates",,,"FALSE"
29,"Phase_by_Excavator","Phase Established by Excavator",,"FALSE"
30,"Site_Context","Site Context","TRUE","FALSE"
31,"Sample_ID","Sample ID","TRUE","FALSE"
32,"Notes","Notes","TRUE","FALSE"
33,"Domestic_Cattle","Domestic Cattle","TRUE","TRUE"
34,"Wild_Cattle","Wild Cattle","TRUE","TRUE"
35,"Undetermined_Bovids","Undetermined Bovids","TRUE","TRUE"
36,"Domestic_Sheep_Goats","Domestic Sheep / Goats","TRUE","TRUE"
37,"Wild_Barbary_Sheep","Wild Barbary Sheep","TRUE","TRUE"
38,"Domestic_Donkeys","Domestic Donkeys","TRUE","TRUE"
39,"Wild_Donkeys_Zebras","Wild Donkeys / Zebras","TRUE","TRUE"
40,"Domestic_Horses","Domestic Horses","TRUE","TRUE"
41,"Undetermined_Equids","Undetermined Equids","TRUE","TRUE"
42,"Domestic_Pigs","Domestic Pigs","TRUE","TRUE"
43,"Ostrich_Eggshells","Ostrich Eggshells","TRUE","TRUE"
44,"Ostrich_Bones","Ostrich Bones","TRUE","TRUE"
45,"Other_Wild_Terrestrial_Macrofauna","Other Wild Terrestrial Macrofauna","TRUE","TRUE"
46,"Other_Wild_Terrestrial_Microfauna_Avifauna","Other Wild Terrestrial Microfauna / Avifauna","TRUE","TRUE"
47,"Terrestrial_Freshwater_Molluscs","Terrestrial / Freshwater Molluscs","TRUE","TRUE"
48,"Marine_Molluscs","Marine Molluscs","TRUE","TRUE"
49,"Ichthyofauna_Turtles","Ichthyofauna / Turtles","TRUE","TRUE"
50,"Domestic_Cereals","Domestic Cereals","TRUE","TRUE"
51,"Domestic_Pulses","Domestic Pulses","TRUE","TRUE"
52,"Fruit_Crops","Fruit Crops","TRUE","TRUE"
53,"Wild_Plants","Wild Plants","TRUE","TRUE"
54,"Pottery","Pottery","TRUE","TRUE"
55,"Lithics_Backed_Tools_Geometrics","Lithic Backed Tools / Geometrics","TRUE","TRUE"
56,"Lithics_Notches_Denticulates","Lithic Notches / Denticulates","TRUE","TRUE"
57,"Lithics_Arrowheads","Lithic Arrowheads","TRUE","TRUE"
58,"Lithics_Bifacial_Tools","Lithic Bifacial Tools","TRUE","TRUE"
59,"Lithics_Polished_Axes_Adzes","Lithic Polished Axes / Adzes","TRUE","TRUE"
